time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-19T06:01:58.838Z,56.6904,-149.2881,0.1,3.9,ml,,,,0.84,ak,ak18453869,2018-02-19T06:17:37.084Z,"224km ESE of Kodiak, Alaska",earthquake,,8.2,,,automatic,ak,ak
2018-02-19T05:38:52.000Z,66.4843,-17.8018,10,5,mb,,58,2.276,1.08,us,us2000d4k6,2018-02-19T18:16:23.260Z,"53km NNW of Husavik, Iceland",earthquake,6.6,0.8,0.027,448,reviewed,us,us
2018-02-19T05:34:16.540Z,66.4335,-17.8462,10,4.8,mb,,66,2.226,1.21,us,us2000d4k4,2018-02-19T14:38:24.040Z,"48km NNW of Husavik, Iceland",earthquake,6,1.9,0.035,250,reviewed,us,us
2018-02-19T05:21:40.430Z,-29.207,-72.5736,10,4.3,mwr,,142,1.362,0.74,us,us2000d4jw,2018-02-19T05:59:53.040Z,"145km NW of Coquimbo, Chile",earthquake,4.7,1.9,0.046,45,reviewed,us,us
2018-02-19T05:18:57.763Z,55.9987,-150.0543,77.2,2.7,ml,,,,0.74,ak,ak18453413,2018-02-19T20:28:25.598Z,"245km SE of Kodiak, Alaska",earthquake,,20,,,reviewed,ak,ak
2018-02-19T04:40:51.600Z,42.013,142.7627,75.98,4.2,mb,,86,0.294,0.55,us,us2000d4ji,2018-02-19T05:10:02.040Z,"48km SE of Shizunai, Japan",earthquake,9,7.1,0.095,31,reviewed,us,us
2018-02-19T03:42:14.060Z,18.812,-67.3306,11,3.06,md,10,310,0.4084,0.44,pr,pr2018050001,2018-02-19T08:30:06.386Z,"43km NW of San Antonio, Puerto Rico",earthquake,2.1,1.43,0.15,10,reviewed,pr,pr
2018-02-19T02:51:54.408Z,56.2066,-149.9951,5.8,2.7,ml,,,,0.71,ak,ak18452515,2018-02-19T20:20:23.250Z,"229km SE of Kodiak, Alaska",earthquake,,3.1,,,reviewed,ak,ak
2018-02-19T01:50:36.730Z,4.0988,-76.6073,102.6,4.8,mb,,63,2.396,0.97,us,us2000d4he,2018-02-19T20:25:13.931Z,"32km NNW of Restrepo, Colombia",earthquake,7.4,6.5,0.033,279,reviewed,us,us
2018-02-19T01:20:30.540Z,19.1078,-68.011,105,2.84,md,6,221,1.1044,0.4,pr,pr2018050000,2018-02-19T02:41:30.750Z,"71km NE of Punta Cana, Dominican Republic",earthquake,8.62,5.41,0.28,3,reviewed,pr,pr
2018-02-19T00:53:24.090Z,36.0024986,-120.56633,3.91,2.62,md,50,48,0.02507,0.08,nc,nc72971976,2018-02-19T09:05:25.942Z,"17km NW of Parkfield, CA",earthquake,0.21,0.27,0.11,39,automatic,nc,nc
2018-02-19T00:21:10.050Z,-31.5447,-71.868,27.69,4.3,mwr,,168,0.816,0.48,us,us2000d4g3,2018-02-19T00:53:11.040Z,"67km W of Illapel, Chile",earthquake,4.6,5.4,0.035,79,reviewed,us,us
2018-02-18T22:37:24.121Z,56.153,-154.7482,36.2,3.2,ml,,,,0.93,ak,ak18451157,2018-02-18T22:42:29.091Z,"65km NE of Chirikof Island, Alaska",earthquake,,11.1,,,automatic,ak,ak
2018-02-18T21:41:53.555Z,38.967,-116.1068,0.7,2.7,ml,10,59.71,0.847,0.202,nn,nn00622221,2018-02-19T07:02:09.168Z,"60km WNW of Currant, Nevada",earthquake,,4.2,0.41,16,reviewed,nn,nn
2018-02-18T21:39:11.950Z,18.7676,-64.682,98,3.52,md,8,342,1.3239,0.17,pr,pr2018049010,2018-02-18T23:43:31.176Z,"39km N of Road Town, British Virgin Islands",earthquake,6.72,5.27,0.13,4,reviewed,pr,pr
2018-02-18T19:48:10.290Z,35.3231,-97.956,4.38,2.9,mb_lg,,69,0.243,0.29,us,us2000d4bi,2018-02-19T18:19:01.820Z,"1km NW of Minco, Oklahoma",earthquake,1.9,2.1,0.059,75,reviewed,us,us
2018-02-18T19:42:40.615Z,60.1321,-151.0891,54,2.8,ml,,,,0.63,ak,ak18450677,2018-02-18T20:32:29.040Z,"28km SSE of Cohoe, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-02-18T18:31:36.010Z,32.7615,132.1441,47.78,4.9,mww,,60,1.125,1.14,us,us2000d4a3,2018-02-19T14:48:39.835Z,"30km SE of Saiki, Japan",earthquake,5.6,6.3,0.073,18,reviewed,us,us
2018-02-18T18:03:49.987Z,55.7054,-151.8749,10,2.7,ml,,,,0.72,ak,ak18450204,2018-02-18T22:47:49.708Z,"233km S of Kodiak Station, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-02-18T17:59:55.060Z,56.4944,-151.992,0,2.8,ml,,,,0.66,ak,ak18450197,2018-02-18T20:00:43.040Z,"146km S of Kodiak, Alaska",earthquake,,1.5,,,automatic,ak,ak
